username,N,C2,C1,B2,B1,A2,A1
jeff55,['fr'],[],[],[],[],[],[]
mariefinley,['de'],[],['en'],[],"['ko','zh']",[],[]
douglas75,['en'],[],[],[],['es'],"['de', 'it']",[]
samuel06,['ar'],['en'],[],['he'],[],"['tr', 'es']",[]
fbishop,['en'],[],[],['de'],['es'],[],[]
romerokimberly,[],"['ja','zh']",[],[],[],[],[]
maurice36,['ar'],[],[],[],['en'],['es'],['tr']
jamesthomas,['en'],['de'],['es'],[],[],[],[]
johnfreeman,['en'],[],[],[],[],['it'],[]
bradleyjones,['da'],['en'],[],['ja'],[],['pl'],['de']
vangcassandra,['en'],[],['pt'],[],"['es','fr']",[],[]
darren01,['en'],[],['hu'],[],[],[],[]
daniellemiller,['en'],[],[],['es'],['de'],[],['th']
jeanettesmith,['en'],[],[],[],['de'],['it'],['ko']
zramirez,['en'],[],[],['Fr'],['de'],[],"['ko','lt']"
dmckinney,['nl'],[],"['de','en','fr']",[],[],['es],[]
herrerajeffrey,['en'],[],['fr'],[],[],[],['es']
loridavis,['fr'],['en'],['hu'],['de'],[],[],[]
brookstravis,['es'],[],['en'],[],"['de','fr']",[],[]
stanley70,['en'],[],[],['es'],[],['zh'],"['ja','pt']"
efernandez,['pt'],[],['en'],['es'],[],['nl'],['fr']
danielleanderson,['en'],['es'],['de'],[],[],[],"['it','ru']"
loganscott,['pt'],[],['en'],[],['es'],[],['pl']
lwelch,['en'],[],[],[],[],['es'],['de']
annehudson,['en'],[],[],['fr'],[],['de'],[]
jamesthornton,['en'],[],['es'],[],[],[],[]
jeremiah26,['en'],[],['es'],[],[],[],[]
carrrichard,['nl'],"['en','fr']",['pt'],['de'],[],[],[]
alexandermann,['en'],['de'],[],[],"['nl','fr']",[],[]
josephgreen,['en'],[],"['fr','cz']",[],[],"['zh','es','it']",[]
longchristopher,['en'],[],[],['es'],['eo'],[],['fr']
ebrown,"['EN','es']",[],['fr'],[],[],[],[]
barbara38,['en'],['de'],[],[],[],['es'],[]
leonardnathaniel,['en'],[],['fr'],[],[],[],['sv']
chadfox,['en'],[],[],[],['tl'],['fi'],[]
shortsabrina,"['es','ca']",[],['en'],"['it','de']",[],[],[]
tracytaylor,['EN'],['FR'],[],[],[],[],[]
ccasey,"['en','pl']",[],[],[],[],"['es','de']",[]
martinezjennifer,['zh'],['en'],[],[],['es'],"['ja','fr']",[]
theresamoreno,['en'],[],[],['de'],[],['es'],[]
jcohen,['it'],['en'],[],['pt'],"['es','de','fr']",['zh'],['ru']
andrewsjacqueline,['en'],[],[],['fr'],[],[],['de']
zwhite,['en'],[],[],[],['ja'],[],[]
nataliemccarthy,['en'],[],['de'],[],[],[],['FR']
collierbrady,['it'],[],['en'],[],"['fr','da']",[],[]
upalmer,['EN'],[],[],['zh'],[],[],[]
nicholasdrake,['en'],['ja'],[],[],['ko'],[],[]
yroberts,['En'],[],[],"[]",['Es','ja'],['zh'],[]
xward,"['ca', 'es']",['en'],['fr'],['it'],['de'],['ar'],[]
smiththomas,['pl'],['en'],[],[],['es'],['ru'],"['de','fr','ja','uk','ar']"
