username,user_input
jeff55,N:fr
mariefinley,German N | English C1 | Korean B1 | Mandarin B1
douglas75,"🇺🇸(N) | 🇲🇽 (B1), 🇩🇪 (A2), 🇮🇹 (A2) "
samuel06,🇪🇬 N 🇺🇸 F 🇮🇱 B2 🇹🇷 A2 🇪🇸 A2 
fbishop,🇺🇸/🏳️‍⚧️(N)🇩🇪(B2)🇲🇽(B1)
romerokimberly,"Japanese C2, Mando C2"
maurice36,"N{Ar}, B2:{Eng}. A2 : {Es}, A1{Tr}"
jamesthomas,En N | De C2 (GDS) | Es C1 (ACTFL WPT)
johnfreeman,🇺🇸 N | 🇮🇹 (Braying Mule Stage/A2)
bradleyjones,"Danish: N, English: C2, Japanese: B2, Polish: A2, German: A1"
vangcassandra,🇺🇸N 🇧🇷C1 🇲🇽🇫🇷B1
darren01,🇭🇺 C1 | 🇬🇧 N 
daniellemiller,🇺🇸N🇲🇽B2🇩🇪B1🇹🇭A1
jeanettesmith,🇺🇸 N | 🇩🇪 B1 | 🇮🇹 A2 | 🇰🇷 A1
zramirez,"Eng N, Ger B1, Kor A1, Fr B2, Lith A1"
dmckinney,🇧🇪🇳🇱N / 🇬🇧🇫🇷🇩🇪C1 / 🇲🇽A2
herrerajeffrey,🇺🇸 EN (N) | 🇫🇷 FR (C1) | 🤟 ASL (Beginner) | 🇪🇸 ES (A1)
loridavis,"🇫🇷 (N), 🇬🇧 (C2), 🇭🇺 (C1), 🇩🇪 (B2)"
brookstravis,🇲🇽 N 🇺🇸 C1 🇫🇷 B1+ 🇩🇪 B1 🇧🇷🇰🇷 learning
stanley70,English: N/ Español: B2/ 中文: A2/日本话&Português: A1
efernandez,🇧🇷 (N) | 🇺🇸 (C1) | 🇪🇸 (B2) | 🇳🇱 (A2) | 🇫🇷 (A1)
danielleanderson,🇺🇸(N) 🇪🇸(C2) 🇩🇪(C1) 🇮🇹(A1) 🇷🇺(A1)
loganscott,🇧🇷 N | 🇺🇸 C1 | 🇲🇽 B1 | 🇮🇩  A1
lwelch,N 🇺🇸 A2 🇪🇸 A1 🇩🇪 
annehudson,🇺🇸N |  🇫🇷B2 🇩🇪A2
jamesthornton,ENG N | ES C1
jeremiah26,🇺🇸 N|🇲🇽 C1
carrrichard,🇳🇱 Native; 🇬🇧&🇫🇷 C2; 🇵🇹 C1; 🇩🇪 B2
alexandermann,"Eng N, Ger C2, Dutch B1, Fre B1"
josephgreen,enN/frC1/czC1/zhA2/esA2/itA2
longchristopher,🇺🇸N | 🇪🇸B2 | EO B1 | 🇫🇷A1 
ebrown,ES / EN: N | FR: C1
barbara38,🇨🇦(N) 🇩🇪(C2) 🇪🇸(A2)
leonardnathaniel,🇺🇸 N | 🇫🇷 C1 | 🇸🇪 A1
chadfox,🇨🇦N | 🇵🇭B1 | 🇫🇮A2
shortsabrina,ES [N] | CAT [N] | ENG [C1] | IT [B2] | GER [B1]
tracytaylor,"EN|N, FR|C2 (DALF)"
ccasey,🇵🇱🇬🇧:Native 🇪🇸🇩🇪:A2
martinezjennifer,"中文(N), 🇨🇦(C2), 🇪🇸(B1), 🇯🇵/🇫🇷(A2)"
theresamoreno, 🇺🇸 Native |  🇩🇪 B1 | 🇪🇸 A2
jcohen,🇮🇹N|🇺🇸C2|🇧🇷B2|🇦🇷🇩🇪🇫🇷B1|🇨🇳A2|🇷🇺A1|
andrewsjacqueline,🇬🇧 N/🇫🇷 B2/🇩🇪 A1
zwhite,🇬🇧 N | 🇯🇵 B1
nataliemccarthy,EN N | DE C1 | FR A1
collierbrady,N🇮🇹C1🇬🇧B1🇫🇷🇩🇰
upalmer,"EN(N),中文(B2)"
nicholasdrake,🇺🇸 N -> 🇯🇵 C2 -> 🇰🇷 B1
yroberts,"En (N) | Ja (B1), Es (B1), Zh-cmn (A2)"
xward, 🇦🇩(N)|🇪🇸(N)|🇬🇧(C2)|🇫🇷(C1)|🇮🇹(B2)| 🇩🇪(B1)| 🇸🇾(A2)
smiththomas,🇵🇱 N | 🇬🇧 C2 | 🇪🇸 B1| 🇷🇺 A2 | 🇩🇪🇫🇷 🇯🇵🇺🇦🇦🇪 A1
