username,N,C2,C1,B2,B1,A2,A1
jeff55,['fr'],[],[],[],[],[],[]
mariefinley,['de'],[],['en'],[],['ko'],[],[]
douglas75,['en'],[],[],[],['es'],"['it', 'de']",[]
samuel06,['ar'],['en'],[],['he'],[],"['es', 'tr']",[]
fbishop,['en'],[],[],['de'],['es'],[],[]
romerokimberly,[],['ja'],[],[],[],[],[]
maurice36,['es'],[],[],['en'],[],['es'],['tr']
jamesthomas,['en'],['de'],['es'],[],[],[],[]
johnfreeman,['en'],[],[],[],[],['it'],[]
bradleyjones,['da'],['en'],[],['ja'],[],['pl'],['de']
vangcassandra,['en'],[],['pt'],[],"['fr', 'es']",[],[]
darren01,['en'],[],['hu'],[],[],[],[]
daniellemiller,['en'],[],[],['es'],['de'],[],['th']
jeanettesmith,['en'],[],[],[],['de'],['it'],['ko']
zramirez,['en'],[],[],['fr'],[],[],[]
dmckinney,"['nl', 'en']",[],"['de', 'fr', 'en']",[],[],['es'],[]
herrerajeffrey,['en'],[],['fr'],[],[],[],['es']
loridavis,['fr'],['en'],['hu'],['de'],[],[],[]
brookstravis,['es'],[],['en'],[],"['de', 'fr']",[],[]
stanley70,['en'],[],[],[],[],[],[]
efernandez,['pt'],[],['en'],['es'],[],['nl'],['fr']
danielleanderson,['en'],['es'],['de'],[],[],[],"['ru', 'it']"
loganscott,['pt'],[],['en'],[],['es'],[],['id']
lwelch,['en'],[],[],[],[],['es'],['de']
annehudson,['en'],[],[],['fr'],[],['de'],[]
jamesthornton,['en'],[],['es'],[],[],[],[]
jeremiah26,['en'],[],['es'],[],[],[],[]
carrrichard,['nl'],"['fr', 'en']",['pt'],['de'],[],[],[]
alexandermann,['en'],[],[],[],[],[],[]
josephgreen,[],[],[],[],[],[],[]
longchristopher,['en'],[],[],['es'],['eo'],[],['fr']
ebrown,"['en', 'es']",[],['fr'],[],[],[],[]
barbara38,['en'],['de'],[],[],[],['es'],[]
leonardnathaniel,['en'],[],['fr'],[],[],[],['sv']
chadfox,['en'],[],[],[],['en'],['fi'],[]
shortsabrina,['es'],[],['en'],['it'],[],[],[]
tracytaylor,['en'],['fr'],[],[],[],[],[]
ccasey,"['en', 'pl']",[],[],[],[],"['de', 'es']",[]
martinezjennifer,[],['en'],[],[],['es'],"['fr', 'ja']",[]
theresamoreno,['en'],[],[],[],['de'],['es'],[]
jcohen,['it'],['en'],[],['pt'],"['fr', 'de', 'es']",['zh'],['ru']
andrewsjacqueline,['en'],[],[],['fr'],[],[],['de']
zwhite,['en'],[],[],[],['ja'],[],[]
nataliemccarthy,['en'],[],['de'],[],[],[],['fr']
collierbrady,['it'],[],['en'],[],"['fr', 'da']",[],[]
upalmer,['en'],[],[],[],[],[],[]
nicholasdrake,['en'],['ja'],[],[],['ko'],[],[]
yroberts,['en'],[],[],[],"['es', 'ja']",['zh'],[]
xward,"['es', 'ca']",['en'],['fr'],['it'],['de'],['ar'],[]
smiththomas,['pl'],['en'],[],[],['es'],['ru'],"['ar', 'uk', 'ja', 'fr', 'de']"
